2024-10-09 16:05:16 [0] - Invalid address:  (From): YOUR_EMAIL in C:\xampp\htdocs\CMLv2\vendor\phpmailer\phpmailer\src\PHPMailer.php:1331
2024-10-09 16:06:07 [0] - Invalid address:  (From): YOUR_EMAIL in C:\xampp\htdocs\CMLv2\vendor\phpmailer\phpmailer\src\PHPMailer.php:1331
2024-10-09 16:10:56 [0] - Invalid address:  (From): YOUR_EMAIL in C:\xampp\htdocs\CMLv2\vendor\phpmailer\phpmailer\src\PHPMailer.php:1331
(2024-10-09 17:05:51) Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:34
(2024-10-09 17:07:30) Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:34
(2024-10-09 17:08:59) Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:34
(2024-10-09 17:46:13) Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\index.php:19
2024-10-09 18:26:34 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:59
2024-10-09 18:27:36 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:31:43 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:32:44 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:33:39 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:35:36 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:35:54 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:41:12 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:61
2024-10-09 18:48:12 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:48:23 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:49:19 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:49:30 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:51:14 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:52:41 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:54:53 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:55:55 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:56:28 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:57:05 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:57:24 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
2024-10-09 18:59:56 Error: [2] Undefined variable $DB_con - C:\xampp\htdocs\CMLv2\Customers\shop.php:56
